2025-04-02 13:28:41 startup archives unpack
2025-04-02 13:28:45 upgrade gir1.2-webkit2-4.1:amd64 2.46.6-0ubuntu0.24.04.1 2.48.0-0ubuntu0.24.04.1
2025-04-02 13:28:45 status half-configured gir1.2-webkit2-4.1:amd64 2.46.6-0ubuntu0.24.04.1
2025-04-02 13:28:45 status unpacked gir1.2-webkit2-4.1:amd64 2.46.6-0ubuntu0.24.04.1
2025-04-02 13:28:45 status half-installed gir1.2-webkit2-4.1:amd64 2.46.6-0ubuntu0.24.04.1
2025-04-02 13:28:46 status unpacked gir1.2-webkit2-4.1:amd64 2.48.0-0ubuntu0.24.04.1
2025-04-02 13:28:46 upgrade gir1.2-javascriptcoregtk-4.1:amd64 2.46.6-0ubuntu0.24.04.1 2.48.0-0ubuntu0.24.04.1
2025-04-02 13:28:46 status half-configured gir1.2-javascriptcoregtk-4.1:amd64 2.46.6-0ubuntu0.24.04.1
2025-04-02 13:28:46 status unpacked gir1.2-javascriptcoregtk-4.1:amd64 2.46.6-0ubuntu0.24.04.1
2025-04-02 13:28:46 status half-installed gir1.2-javascriptcoregtk-4.1:amd64 2.46.6-0ubuntu0.24.04.1
2025-04-02 13:28:46 status unpacked gir1.2-javascriptcoregtk-4.1:amd64 2.48.0-0ubuntu0.24.04.1
2025-04-02 13:28:46 upgrade libwebkit2gtk-4.1-0:amd64 2.46.6-0ubuntu0.24.04.1 2.48.0-0ubuntu0.24.04.1
2025-04-02 13:28:46 status triggers-pending libc-bin:amd64 2.39-0ubuntu8.4
2025-04-02 13:28:46 status half-configured libwebkit2gtk-4.1-0:amd64 2.46.6-0ubuntu0.24.04.1
2025-04-02 13:28:46 status unpacked libwebkit2gtk-4.1-0:amd64 2.46.6-0ubuntu0.24.04.1
2025-04-02 13:28:46 status half-installed libwebkit2gtk-4.1-0:amd64 2.46.6-0ubuntu0.24.04.1
2025-04-02 13:28:48 status unpacked libwebkit2gtk-4.1-0:amd64 2.48.0-0ubuntu0.24.04.1
2025-04-02 13:28:48 upgrade libjavascriptcoregtk-4.1-0:amd64 2.46.6-0ubuntu0.24.04.1 2.48.0-0ubuntu0.24.04.1
2025-04-02 13:28:48 status half-configured libjavascriptcoregtk-4.1-0:amd64 2.46.6-0ubuntu0.24.04.1
2025-04-02 13:28:48 status unpacked libjavascriptcoregtk-4.1-0:amd64 2.46.6-0ubuntu0.24.04.1
2025-04-02 13:28:48 status half-installed libjavascriptcoregtk-4.1-0:amd64 2.46.6-0ubuntu0.24.04.1
2025-04-02 13:28:49 status unpacked libjavascriptcoregtk-4.1-0:amd64 2.48.0-0ubuntu0.24.04.1
2025-04-02 13:28:49 upgrade gir1.2-webkit-6.0:amd64 2.46.6-0ubuntu0.24.04.1 2.48.0-0ubuntu0.24.04.1
2025-04-02 13:28:49 status half-configured gir1.2-webkit-6.0:amd64 2.46.6-0ubuntu0.24.04.1
2025-04-02 13:28:49 status unpacked gir1.2-webkit-6.0:amd64 2.46.6-0ubuntu0.24.04.1
2025-04-02 13:28:49 status half-installed gir1.2-webkit-6.0:amd64 2.46.6-0ubuntu0.24.04.1
2025-04-02 13:28:49 status unpacked gir1.2-webkit-6.0:amd64 2.48.0-0ubuntu0.24.04.1
2025-04-02 13:28:49 upgrade gir1.2-javascriptcoregtk-6.0:amd64 2.46.6-0ubuntu0.24.04.1 2.48.0-0ubuntu0.24.04.1
2025-04-02 13:28:49 status half-configured gir1.2-javascriptcoregtk-6.0:amd64 2.46.6-0ubuntu0.24.04.1
2025-04-02 13:28:49 status unpacked gir1.2-javascriptcoregtk-6.0:amd64 2.46.6-0ubuntu0.24.04.1
2025-04-02 13:28:49 status half-installed gir1.2-javascriptcoregtk-6.0:amd64 2.46.6-0ubuntu0.24.04.1
2025-04-02 13:28:49 status unpacked gir1.2-javascriptcoregtk-6.0:amd64 2.48.0-0ubuntu0.24.04.1
2025-04-02 13:28:49 upgrade libwebkitgtk-6.0-4:amd64 2.46.6-0ubuntu0.24.04.1 2.48.0-0ubuntu0.24.04.1
2025-04-02 13:28:49 status half-configured libwebkitgtk-6.0-4:amd64 2.46.6-0ubuntu0.24.04.1
2025-04-02 13:28:49 status unpacked libwebkitgtk-6.0-4:amd64 2.46.6-0ubuntu0.24.04.1
2025-04-02 13:28:49 status half-installed libwebkitgtk-6.0-4:amd64 2.46.6-0ubuntu0.24.04.1
2025-04-02 13:28:51 status unpacked libwebkitgtk-6.0-4:amd64 2.48.0-0ubuntu0.24.04.1
2025-04-02 13:28:51 upgrade libjavascriptcoregtk-6.0-1:amd64 2.46.6-0ubuntu0.24.04.1 2.48.0-0ubuntu0.24.04.1
2025-04-02 13:28:51 status half-configured libjavascriptcoregtk-6.0-1:amd64 2.46.6-0ubuntu0.24.04.1
2025-04-02 13:28:51 status unpacked libjavascriptcoregtk-6.0-1:amd64 2.46.6-0ubuntu0.24.04.1
2025-04-02 13:28:51 status half-installed libjavascriptcoregtk-6.0-1:amd64 2.46.6-0ubuntu0.24.04.1
2025-04-02 13:28:52 status unpacked libjavascriptcoregtk-6.0-1:amd64 2.48.0-0ubuntu0.24.04.1
2025-04-02 13:28:52 startup packages configure
2025-04-02 13:28:52 configure libjavascriptcoregtk-4.1-0:amd64 2.48.0-0ubuntu0.24.04.1 <none>
2025-04-02 13:28:52 status unpacked libjavascriptcoregtk-4.1-0:amd64 2.48.0-0ubuntu0.24.04.1
2025-04-02 13:28:52 status half-configured libjavascriptcoregtk-4.1-0:amd64 2.48.0-0ubuntu0.24.04.1
2025-04-02 13:28:52 status installed libjavascriptcoregtk-4.1-0:amd64 2.48.0-0ubuntu0.24.04.1
2025-04-02 13:28:52 configure libjavascriptcoregtk-6.0-1:amd64 2.48.0-0ubuntu0.24.04.1 <none>
2025-04-02 13:28:52 status unpacked libjavascriptcoregtk-6.0-1:amd64 2.48.0-0ubuntu0.24.04.1
2025-04-02 13:28:52 status half-configured libjavascriptcoregtk-6.0-1:amd64 2.48.0-0ubuntu0.24.04.1
2025-04-02 13:28:52 status installed libjavascriptcoregtk-6.0-1:amd64 2.48.0-0ubuntu0.24.04.1
2025-04-02 13:28:52 configure libwebkit2gtk-4.1-0:amd64 2.48.0-0ubuntu0.24.04.1 <none>
2025-04-02 13:28:52 status unpacked libwebkit2gtk-4.1-0:amd64 2.48.0-0ubuntu0.24.04.1
2025-04-02 13:28:52 status half-configured libwebkit2gtk-4.1-0:amd64 2.48.0-0ubuntu0.24.04.1
2025-04-02 13:28:52 status installed libwebkit2gtk-4.1-0:amd64 2.48.0-0ubuntu0.24.04.1
2025-04-02 13:28:52 configure libwebkitgtk-6.0-4:amd64 2.48.0-0ubuntu0.24.04.1 <none>
2025-04-02 13:28:52 status unpacked libwebkitgtk-6.0-4:amd64 2.48.0-0ubuntu0.24.04.1
2025-04-02 13:28:52 status half-configured libwebkitgtk-6.0-4:amd64 2.48.0-0ubuntu0.24.04.1
2025-04-02 13:28:52 status installed libwebkitgtk-6.0-4:amd64 2.48.0-0ubuntu0.24.04.1
2025-04-02 13:28:52 configure gir1.2-javascriptcoregtk-6.0:amd64 2.48.0-0ubuntu0.24.04.1 <none>
2025-04-02 13:28:52 status unpacked gir1.2-javascriptcoregtk-6.0:amd64 2.48.0-0ubuntu0.24.04.1
2025-04-02 13:28:52 status half-configured gir1.2-javascriptcoregtk-6.0:amd64 2.48.0-0ubuntu0.24.04.1
2025-04-02 13:28:52 status installed gir1.2-javascriptcoregtk-6.0:amd64 2.48.0-0ubuntu0.24.04.1
2025-04-02 13:28:52 configure gir1.2-javascriptcoregtk-4.1:amd64 2.48.0-0ubuntu0.24.04.1 <none>
2025-04-02 13:28:52 status unpacked gir1.2-javascriptcoregtk-4.1:amd64 2.48.0-0ubuntu0.24.04.1
2025-04-02 13:28:52 status half-configured gir1.2-javascriptcoregtk-4.1:amd64 2.48.0-0ubuntu0.24.04.1
2025-04-02 13:28:52 status installed gir1.2-javascriptcoregtk-4.1:amd64 2.48.0-0ubuntu0.24.04.1
2025-04-02 13:28:52 configure gir1.2-webkit-6.0:amd64 2.48.0-0ubuntu0.24.04.1 <none>
2025-04-02 13:28:52 status unpacked gir1.2-webkit-6.0:amd64 2.48.0-0ubuntu0.24.04.1
2025-04-02 13:28:52 status half-configured gir1.2-webkit-6.0:amd64 2.48.0-0ubuntu0.24.04.1
2025-04-02 13:28:52 status installed gir1.2-webkit-6.0:amd64 2.48.0-0ubuntu0.24.04.1
2025-04-02 13:28:52 configure gir1.2-webkit2-4.1:amd64 2.48.0-0ubuntu0.24.04.1 <none>
2025-04-02 13:28:52 status unpacked gir1.2-webkit2-4.1:amd64 2.48.0-0ubuntu0.24.04.1
2025-04-02 13:28:52 status half-configured gir1.2-webkit2-4.1:amd64 2.48.0-0ubuntu0.24.04.1
2025-04-02 13:28:52 status installed gir1.2-webkit2-4.1:amd64 2.48.0-0ubuntu0.24.04.1
2025-04-02 13:28:52 trigproc libc-bin:amd64 2.39-0ubuntu8.4 <none>
2025-04-02 13:28:52 status half-configured libc-bin:amd64 2.39-0ubuntu8.4
2025-04-02 13:28:53 status installed libc-bin:amd64 2.39-0ubuntu8.4
2025-04-02 13:28:59 startup archives unpack
2025-04-02 13:28:59 upgrade linux-libc-dev:amd64 6.8.0-56.58 6.8.0-57.59
2025-04-02 13:28:59 status half-configured linux-libc-dev:amd64 6.8.0-56.58
2025-04-02 13:28:59 status unpacked linux-libc-dev:amd64 6.8.0-56.58
2025-04-02 13:28:59 status half-installed linux-libc-dev:amd64 6.8.0-56.58
2025-04-02 13:29:00 status unpacked linux-libc-dev:amd64 6.8.0-57.59
2025-04-02 13:29:00 upgrade linux-tools-common:all 6.8.0-56.58 6.8.0-57.59
2025-04-02 13:29:00 status half-configured linux-tools-common:all 6.8.0-56.58
2025-04-02 13:29:00 status unpacked linux-tools-common:all 6.8.0-56.58
2025-04-02 13:29:00 status half-installed linux-tools-common:all 6.8.0-56.58
2025-04-02 13:29:01 status triggers-pending man-db:amd64 2.12.0-4build2
2025-04-02 13:29:01 status unpacked linux-tools-common:all 6.8.0-57.59
2025-04-02 13:29:01 startup packages configure
2025-04-02 13:29:01 configure linux-libc-dev:amd64 6.8.0-57.59 <none>
2025-04-02 13:29:01 status unpacked linux-libc-dev:amd64 6.8.0-57.59
2025-04-02 13:29:01 status half-configured linux-libc-dev:amd64 6.8.0-57.59
2025-04-02 13:29:01 status installed linux-libc-dev:amd64 6.8.0-57.59
2025-04-02 13:29:01 configure linux-tools-common:all 6.8.0-57.59 <none>
2025-04-02 13:29:01 status unpacked linux-tools-common:all 6.8.0-57.59
2025-04-02 13:29:01 status half-configured linux-tools-common:all 6.8.0-57.59
2025-04-02 13:29:01 status installed linux-tools-common:all 6.8.0-57.59
2025-04-02 13:29:01 trigproc man-db:amd64 2.12.0-4build2 <none>
2025-04-02 13:29:01 status half-configured man-db:amd64 2.12.0-4build2
2025-04-02 13:29:06 status installed man-db:amd64 2.12.0-4build2
2025-04-02 19:42:13 startup archives unpack
2025-04-02 19:42:15 install htop:amd64 <none> 3.3.0-4build1
2025-04-02 19:42:15 status half-installed htop:amd64 3.3.0-4build1
2025-04-02 19:42:15 status triggers-pending gnome-menus:amd64 3.36.0-1.1ubuntu3
2025-04-02 19:42:15 status triggers-pending desktop-file-utils:amd64 0.27-2build1
2025-04-02 19:42:16 status triggers-pending hicolor-icon-theme:all 0.17-2
2025-04-02 19:42:16 status triggers-pending man-db:amd64 2.12.0-4build2
2025-04-02 19:42:16 status unpacked htop:amd64 3.3.0-4build1
2025-04-02 19:42:16 startup packages configure
2025-04-02 19:42:16 configure htop:amd64 3.3.0-4build1 <none>
2025-04-02 19:42:16 status unpacked htop:amd64 3.3.0-4build1
2025-04-02 19:42:16 status half-configured htop:amd64 3.3.0-4build1
2025-04-02 19:42:16 status installed htop:amd64 3.3.0-4build1
2025-04-02 19:42:16 trigproc desktop-file-utils:amd64 0.27-2build1 <none>
2025-04-02 19:42:16 status half-configured desktop-file-utils:amd64 0.27-2build1
2025-04-02 19:42:17 status installed desktop-file-utils:amd64 0.27-2build1
2025-04-02 19:42:17 trigproc hicolor-icon-theme:all 0.17-2 <none>
2025-04-02 19:42:17 status half-configured hicolor-icon-theme:all 0.17-2
2025-04-02 19:42:18 status installed hicolor-icon-theme:all 0.17-2
2025-04-02 19:42:18 trigproc gnome-menus:amd64 3.36.0-1.1ubuntu3 <none>
2025-04-02 19:42:18 status half-configured gnome-menus:amd64 3.36.0-1.1ubuntu3
2025-04-02 19:42:18 status installed gnome-menus:amd64 3.36.0-1.1ubuntu3
2025-04-02 19:42:18 trigproc man-db:amd64 2.12.0-4build2 <none>
2025-04-02 19:42:18 status half-configured man-db:amd64 2.12.0-4build2
2025-04-02 19:42:21 status installed man-db:amd64 2.12.0-4build2
2025-04-03 13:36:45 startup archives unpack
2025-04-03 13:36:47 upgrade vim:amd64 2:9.1.0016-1ubuntu7.6 2:9.1.0016-1ubuntu7.7
2025-04-03 13:36:47 status half-configured vim:amd64 2:9.1.0016-1ubuntu7.6
2025-04-03 13:36:47 status unpacked vim:amd64 2:9.1.0016-1ubuntu7.6
2025-04-03 13:36:47 status half-installed vim:amd64 2:9.1.0016-1ubuntu7.6
2025-04-03 13:36:48 status unpacked vim:amd64 2:9.1.0016-1ubuntu7.7
2025-04-03 13:36:48 upgrade vim-common:all 2:9.1.0016-1ubuntu7.6 2:9.1.0016-1ubuntu7.7
2025-04-03 13:36:48 status half-configured vim-common:all 2:9.1.0016-1ubuntu7.6
2025-04-03 13:36:48 status unpacked vim-common:all 2:9.1.0016-1ubuntu7.6
2025-04-03 13:36:48 status half-installed vim-common:all 2:9.1.0016-1ubuntu7.6
2025-04-03 13:36:48 status triggers-pending gnome-menus:amd64 3.36.0-1.1ubuntu3
2025-04-03 13:36:48 status triggers-pending desktop-file-utils:amd64 0.27-2build1
2025-04-03 13:36:48 status triggers-pending hicolor-icon-theme:all 0.17-2
2025-04-03 13:36:48 status triggers-pending man-db:amd64 2.12.0-4build2
2025-04-03 13:36:49 status unpacked vim-common:all 2:9.1.0016-1ubuntu7.7
2025-04-03 13:36:49 upgrade vim-tiny:amd64 2:9.1.0016-1ubuntu7.6 2:9.1.0016-1ubuntu7.7
2025-04-03 13:36:49 status half-configured vim-tiny:amd64 2:9.1.0016-1ubuntu7.6
2025-04-03 13:36:49 status unpacked vim-tiny:amd64 2:9.1.0016-1ubuntu7.6
2025-04-03 13:36:49 status half-installed vim-tiny:amd64 2:9.1.0016-1ubuntu7.6
2025-04-03 13:36:49 status unpacked vim-tiny:amd64 2:9.1.0016-1ubuntu7.7
2025-04-03 13:36:49 upgrade vim-runtime:all 2:9.1.0016-1ubuntu7.6 2:9.1.0016-1ubuntu7.7
2025-04-03 13:36:49 status half-configured vim-runtime:all 2:9.1.0016-1ubuntu7.6
